side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載,統合分類,所管,組織,項名,令和6年度成立予算額(千円),補正要求追加額(千円),補正要求修正減少額(千円),補正要求差引額(千円),改令和6年度予算額(千円),補正第1号_同一所管組織項一致,確定分類
決算のみ,一般会計,国土交通省,国土交通本省,380,独立行政法人海技教育機構船舶建造費,55000000,単純対応なし,補正で新設,False,False,補正新設候補,国土交通省,国土交通本省,独立行政法人海技教育機構船舶建造費,0.0,55000.0,0.0,55000.0,55000.0,True,補正第1号で確認
決算のみ,一般会計,国土交通省,国土交通本省,859,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
決算のみ,一般会計,国土交通省,国土交通本省,868,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
決算のみ,一般会計,国土交通省,気象庁,235,海洋気象観測船建造費,7137595000,単純対応なし,補正で新設,False,False,補正新設候補,国土交通省,気象庁,海洋気象観測船建造費,0.0,7137595.0,0.0,7137595.0,7137595.0,True,補正第1号で確認
決算のみ,一般会計,国土交通省,海上保安庁,265,船舶交通安全基盤災害復旧事業工事諸費,17124000,単純対応なし,補正で新設,False,False,補正新設候補,国土交通省,海上保安庁,船舶交通安全基盤災害復旧事業工事諸費,0.0,17124.0,0.0,17124.0,17124.0,True,補正第1号で確認
決算のみ,一般会計,文部科学省,文化庁,94,文化庁施設費,96349000,単純対応なし,補正で新設,False,False,補正新設候補,文部科学省,文化庁,文化庁施設費,0.0,96349.0,0.0,96349.0,96349.0,True,補正第1号で確認
決算のみ,一般会計,文部科学省,文化庁,99,独立行政法人日本芸術文化振興会出資,20000000000,単純対応なし,補正で新設,False,False,補正新設候補,文部科学省,文化庁,独立行政法人日本芸術文化振興会出資,0.0,20000000.0,0.0,20000000.0,20000000.0,True,補正第1号で確認
決算のみ,一般会計,文部科学省,文部科学本省,56,独立行政法人大学入試センター施設整備費,209567000,単純対応なし,補正で新設,False,False,補正新設候補,文部科学省,文部科学本省,独立行政法人大学入試センター施設整備費,0.0,209567.0,0.0,209567.0,209567.0,True,補正第1号で確認
決算のみ,一般会計,文部科学省,文部科学本省,60,独立行政法人国立女性教育会館施設整備費,100724000,単純対応なし,補正で新設,False,False,補正新設候補,文部科学省,文部科学本省,独立行政法人国立女性教育会館施設整備費,0.0,100724.0,0.0,100724.0,100724.0,True,補正第1号で確認
決算のみ,一般会計,環境省,環境本省,17,環境調査研修所施設費,25653000,単純対応なし,補正で新設,False,False,補正新設候補,環境省,環境本省,環境調査研修所施設費,0.0,25653.0,0.0,25653.0,25653.0,True,補正第1号で確認
決算のみ,一般会計,環境省,環境本省,27,自然公園等施設災害復旧事業費,526000000,単純対応なし,補正で新設,False,False,補正新設候補,環境省,環境本省,自然公園等施設災害復旧事業費,0.0,526000.0,0.0,526000.0,526000.0,True,補正第1号で確認
決算のみ,一般会計,経済産業省,経済産業本省,21,独立行政法人日本貿易振興機構施設整備費,158637000,単純対応なし,補正で新設,False,False,補正新設候補,経済産業省,経済産業本省,独立行政法人日本貿易振興機構施設整備費,0.0,158637.0,0.0,158637.0,158637.0,True,補正第1号で確認
決算のみ,一般会計,経済産業省,経済産業本省,22,半導体・人工知能関連技術基盤強化対策費,1305353732000,単純対応なし,補正で新設,False,False,補正新設候補,経済産業省,経済産業本省,半導体・人工知能関連技術基盤強化対策費,0.0,1305353732.0,0.0,1305353732.0,1305353732.0,True,補正第1号で確認
決算のみ,一般会計,経済産業省,資源エネルギー庁,90,電源利用対策費エネルギー対策特別会計へ繰入,11145311000,単純対応なし,補正で新設,False,False,追加一次資料照合,経済産業省,資源エネルギー庁,電源利用対策費エネルギー対策特別会計へ繰入,0.0,11145311.0,0.0,11145311.0,11145311.0,True,補正第1号で確認
決算のみ,一般会計,総務省,総務本省,664,新型コロナウイルス感染症対応地方創生推進費,0,単純対応なし,決算のみ・0円,False,False,前年度繰越候補,,,,,,,,,False,補正第1号では未確認
決算のみ,一般会計,農林水産省,水産庁,148,漁港施設災害復旧事業工事諸費,173000,単純対応なし,補正で新設,False,False,補正新設候補,農林水産省,水産庁,漁港施設災害復旧事業工事諸費,0.0,173.0,0.0,173.0,173.0,True,補正第1号で確認
決算のみ,一般会計,農林水産省,農林水産本省,7,独立行政法人農林水産消費安全技術センター施設整備費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
