side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載,統合分類
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,695,環境保全復興政策費,108225009000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,696,東日本大震災復興事業費,41601809000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,697,東日本大震災復興事業費,3991000000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,701,東日本大震災災害復旧等事業費,6775222000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,703,東日本大震災災害復旧等事業費,136000000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,706,環境保全復興政策費,3326861000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,707,生活基盤行政復興政策費,114232000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,721,東日本大震災復興国営追悼・祈念施設整備事業工事諸費,27222000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,760,原子力災害復興再生支援事業費,40008200000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,761,原子力災害復興再生支援事業費,818775000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,762,原子力災害復興再生支援事業費,1827903000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,766,内閣共通費,36072000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,769,法務省共通費,2753000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,771,法務省共通費,16752000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,772,文部科学省共通費,265696000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,775,農林水産省共通費,8458000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,776,農林水産省共通費,62045000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,777,農林水産省共通費,19263000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,778,環境省共通費,684610000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,779,環境省共通費,4739552000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,782,法務行政復興政策費,24007000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,787,東日本大震災復興国立研究開発法人日本原子力研究開発機構運営費,1967761000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,788,東日本大震災復興国立研究開発法人水産研究・教育機構運営費,181554000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,791,環境保全復興事業費,10402749000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,792,環境保全復興事業費,75944256000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,795,東日本大震災復興農業施設災害復旧事業等工事諸費,11183000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
