accountType,ministry,organization,specialAccount,subAccount,agency,sectionCode,sectionName,inInitial,inSupplement,inSettlement,initialAmount,supplementAmount,settlementAmount,initialDetailCount,supplementDetailCount,settlementDetailCount,supplementHasOutsideN,membershipPattern
agency,,,,農林水産業者向け業務,株式会社日本政策金融公庫,09,予備費,1,0,1,550000000,,550000000,2,,1,,I-F
general,デジタル庁,デジタル庁,,,,001,デジタル庁共通費,1,1,1,15046161000,14997289000,14997289000,30,12,27,1,ISF
general,デジタル庁,デジタル庁,,,,002,デジタル社会形成推進費,1,1,1,1033584000,5026815000,5026815000,7,4,7,1,ISF
general,デジタル庁,デジタル庁,,,,003,情報通信技術調達等適正・効率化推進費,1,1,1,480327293000,685739597000,176048747050,8,5,8,1,ISF
general,デジタル庁,デジタル庁,,,,292,科学技術イノベーション創造推進費,0,0,1,,,0,,,2,,--F
general,会計検査院,会計検査院,,,,001,会計検査院,1,1,1,16282621000,16036641000,16036641000,43,16,42,1,ISF
general,会計検査院,会計検査院,,,,002,会計検査院施設費,0,1,1,,314468000,314468000,,2,2,0,-SF
general,会計検査院,会計検査院,,,,829,情報通信技術調達等適正・効率化推進費,0,0,1,,,601845826,,,2,,--F
general,内閣,人事院,,,,021,人事院,1,1,1,8784014000,10612929000,10612929000,37,20,36,1,ISF
general,内閣,人事院,,,,829,情報通信技術調達等適正・効率化推進費,0,0,1,,,272387300,,,2,,--F
general,内閣,内閣官房,,,,001,内閣官房共通費,1,1,1,37741585000,73858445000,73858445000,41,21,43,1,ISF
general,内閣,内閣官房,,,,002,内閣官房施設費,1,1,1,1618739000,2341093000,2341093000,4,4,4,0,ISF
general,内閣,内閣官房,,,,003,情報収集衛星業務費,1,1,1,61202626000,93701162000,93701162000,14,6,14,1,ISF
general,内閣,内閣官房,,,,004,情報収集衛星施設費,1,1,1,1047197000,1047197000,1047197000,4,1,4,0,ISF
general,内閣,内閣官房,,,,831,情報通信技術調達等適正・効率化推進費,0,0,1,,,4017271309,,,2,,--F
general,内閣,内閣法制局,,,,011,内閣法制局,1,1,1,1065778000,1047718000,1047718000,15,6,14,1,ISF
general,内閣,内閣法制局,,,,830,情報通信技術調達等適正・効率化推進費,0,0,1,,,162595125,,,2,,--F
general,内閣府,こども家庭庁,,,,311,こども家庭庁共通費,1,1,1,7443384000,7601880000,7601880000,30,13,29,1,ISF
general,内閣府,こども家庭庁,,,,312,母子保健衛生対策費,1,1,1,78988098000,171896296000,171896296000,13,9,14,1,ISF
general,内閣府,こども家庭庁,,,,313,保育対策費,1,1,1,45851870000,55121912000,55121912000,2,2,3,0,ISF
general,内閣府,こども家庭庁,,,,314,子ども・子育て支援年金特別会計へ繰入,1,1,1,2619734238000,2660311055000,2660311055000,7,7,7,0,ISF
general,内閣府,こども家庭庁,,,,315,こども安全対策費,1,1,1,1701654000,1701654000,1701654000,2,1,2,0,ISF
general,内閣府,こども家庭庁,,,,316,児童虐待防止等対策費,1,1,1,166836601000,186385801000,186385801000,9,7,10,1,ISF
general,内閣府,こども家庭庁,,,,317,国立児童自立支援施設,1,1,1,994549000,923158000,923158000,20,10,20,1,ISF
general,内閣府,こども家庭庁,,,,318,国立児童自立支援施設整備費,1,1,1,39195000,106323000,106323000,4,4,4,0,ISF
general,内閣府,こども家庭庁,,,,319,母子家庭等対策費,1,1,1,167138769000,169507769000,169507769000,6,3,5,1,ISF
general,内閣府,こども家庭庁,,,,320,障害児支援等対策費,1,1,1,474395920000,474992019000,474992019000,4,5,5,0,ISF
general,内閣府,こども家庭庁,,,,321,こども政策推進費,1,1,1,7183473000,20324759000,20324759000,12,8,12,1,ISF
general,内閣府,こども家庭庁,,,,322,児童福祉施設等整備費,1,1,1,31613618000,131953772000,131953772000,5,5,5,0,ISF
general,内閣府,こども家庭庁,,,,323,大学等修学支援費,1,1,0,543768827000,543768827000,,4,1,,0,IS-
general,内閣府,こども家庭庁,,,,656,科学技術イノベーション創造推進費,0,0,1,,,20774000,,,2,,--F
general,内閣府,こども家庭庁,,,,842,情報通信技術調達等適正・効率化推進費,0,0,1,,,3430305036,,,3,,--F
general,内閣府,こども家庭庁,,,,856,初等中等教育振興費,0,0,1,,,0,,,2,,--F
general,内閣府,こども家庭庁,,,,873,児童福祉施設整備費,0,0,1,,,0,,,2,,--F
general,内閣府,カジノ管理委員会,,,,271,カジノ管理委員会,1,1,1,3700794000,3519946000,3519946000,30,13,30,1,ISF
general,内閣府,カジノ管理委員会,,,,833,情報通信技術調達等適正・効率化推進費,0,0,1,,,641573470,,,2,,--F
general,内閣府,個人情報保護委員会,,,,221,個人情報保護委員会,1,1,1,3548381000,3586346000,3586346000,27,12,27,1,ISF
general,内閣府,個人情報保護委員会,,,,222,個人情報保護委員会施設費,0,1,1,,151668000,151668000,,2,2,0,-SF
general,内閣府,個人情報保護委員会,,,,835,情報通信技術調達等適正・効率化推進費,0,0,1,,,1209588650,,,2,,--F
general,内閣府,健康・医療戦略推進事務局,,,,301,健康・医療戦略推進事務局,1,1,1,259429000,255327000,255327000,12,8,12,1,ISF
general,内閣府,公正取引委員会,,,,121,公正取引委員会,1,1,1,11830602000,11735720000,11735720000,42,20,40,1,ISF
general,内閣府,公正取引委員会,,,,122,公正取引委員会施設費,0,1,1,,1310408000,1310408000,,2,2,0,-SF
general,内閣府,公正取引委員会,,,,836,情報通信技術調達等適正・効率化推進費,0,0,1,,,373597422,,,2,,--F
general,内閣府,内閣本府,,,,001,内閣本府共通費,1,1,1,27517914000,27593516000,27593516000,42,15,42,1,ISF
general,内閣府,内閣本府,,,,002,内閣本府施設費,1,1,1,5335816000,6219263000,6219263000,4,4,4,0,ISF
general,内閣府,内閣本府,,,,003,公文書等管理政策費,1,1,1,107874000,769036000,769036000,6,3,6,1,ISF
general,内閣府,内閣本府,,,,004,独立行政法人国立公文書館運営費,1,1,1,2572379000,2572379000,2572379000,2,1,2,0,ISF
general,内閣府,内閣本府,,,,005,政府広報費,1,1,1,7898751000,11150371000,11150371000,6,4,6,1,ISF
general,内閣府,内閣本府,,,,006,遺棄化学兵器廃棄処理事業費,1,1,1,48233659000,65443483000,65443483000,7,5,7,1,ISF
general,内閣府,内閣本府,,,,007,経済財政政策費,1,1,1,767125000,1115450000,1115450000,16,7,18,1,ISF
general,内閣府,内閣本府,,,,009,地方創生支援費,1,1,1,1414570000,47125613000,47125613000,10,8,12,1,ISF
general,内閣府,内閣本府,,,,013,防災政策費,1,1,1,6428282000,38793599000,38793599000,15,11,16,1,ISF
general,内閣府,内閣本府,,,,015,沖縄政策費,1,1,1,32663979000,36667905000,36667905000,33,10,34,1,ISF
general,内閣府,内閣本府,,,,022,沖縄教育振興事業費,1,1,1,4440000000,5760625000,1471676000,3,3,4,1,ISF
general,内閣府,内閣本府,,,,023,沖縄保健衛生諸費,1,1,0,1620000,1620000,,3,1,,0,IS-
general,内閣府,内閣本府,,,,028,沖縄開発事業費,1,1,1,102131581000,117585076000,13037000,64,42,4,1,ISF
general,内閣府,内閣本府,,,,032,共生社会政策費,1,1,1,1676255000,1785192000,1785192000,9,4,9,1,ISF
general,内閣府,内閣本府,,,,033,栄典行政費,1,1,1,2740224000,2740224000,2740224000,3,1,3,0,ISF
general,内閣府,内閣本府,,,,034,男女共同参画社会形成促進費,1,1,1,1436589000,2952017000,2952017000,12,7,9,1,ISF
general,内閣府,内閣本府,,,,038,食品安全政策費,1,1,1,304258000,344173000,344173000,10,5,10,1,ISF
general,内閣府,内閣本府,,,,040,公益法人制度適正運営推進費,1,1,1,24765000,66954000,66954000,5,3,5,1,ISF
general,内閣府,内閣本府,,,,041,経済社会総合研究所,1,1,1,1816695000,1786527000,1786527000,15,9,15,1,ISF
general,内閣府,内閣本府,,,,042,迎賓施設運営費,1,1,1,2198581000,2198581000,2198581000,5,1,5,0,ISF
general,内閣府,内閣本府,,,,049,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,1,1,1,1221027000,1221027000,1221027000,2,1,2,0,ISF
general,内閣府,内閣本府,,,,050,アイヌ政策推進費,1,1,1,2002339000,2252339000,2252339000,4,3,4,1,ISF
general,内閣府,内閣本府,,,,055,沖縄振興特定事業推進費,1,1,1,8500000000,8500000000,8500000000,2,1,2,0,ISF
general,内閣府,内閣本府,,,,059,独立行政法人国立公文書館施設整備費,0,1,1,,181528000,181528000,,2,2,0,-SF
general,内閣府,内閣本府,,,,187,沖縄振興交付金事業推進費,1,1,1,76255375000,82494244000,39449468000,3,3,2,0,ISF
general,内閣府,内閣本府,,,,188,沖縄北部連携促進特別振興事業費,1,1,1,4450000000,4450000000,2086249000,3,1,3,0,ISF
general,内閣府,内閣本府,,,,189,沖縄振興推進調査費,1,0,0,0,,,2,,,,I--
general,内閣府,内閣本府,,,,190,沖縄北部連携促進特別振興対策特定開発事業推進費,1,1,0,2619000000,2619000000,,2,1,,0,IS-
general,内閣府,内閣本府,,,,191,原子力災害対策費,1,1,1,0,2684227000,2684227000,2,2,2,0,ISF
general,内閣府,内閣本府,,,,193,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,1,1,1,9983000000,11382499000,11382499000,2,2,2,0,ISF
general,内閣府,内閣本府,,,,197,沖縄国立大学法人施設整備費,1,1,0,14262327000,14262327000,,2,1,,0,IS-
general,内閣府,内閣本府,,,,282,重要土地等調査費,1,1,1,528532000,1054987000,1054987000,4,3,4,1,ISF
general,内閣府,内閣本府,,,,283,経済安全保障確保推進費,1,1,1,553936000,1792178000,1792178000,10,7,11,1,ISF
general,内閣府,内閣本府,,,,284,工業所有権事務費特許特別会計へ繰入,1,1,1,37500000,47500000,47500000,2,2,2,0,ISF
general,内閣府,内閣本府,,,,285,孤独・孤立対策推進費,1,1,1,203368000,3253368000,3253368000,4,5,5,0,ISF
general,内閣府,内閣本府,,,,287,物価高騰対応地方創生推進費,1,1,1,0,1735142370000,622661990000,2,2,2,0,ISF
general,内閣府,内閣本府,,,,288,地方創生地域産業基盤整備事業推進費,1,1,1,0,9000000000,49500000,2,2,2,0,ISF
general,内閣府,内閣本府,,,,289,地域経済活性化支援費,0,1,1,,3100000000,3100000000,,2,2,0,-SF
general,内閣府,内閣本府,,,,829,情報通信技術調達等適正・効率化推進費,0,0,1,,,5931700328,,,2,,--F
general,内閣府,内閣本府,,,,860,内閣官房共通費,0,0,1,,,0,,,3,,--F
general,内閣府,北方対策本部,,,,061,北方対策本部,1,1,1,339026000,337218000,337218000,11,7,11,1,ISF
general,内閣府,北方対策本部,,,,062,独立行政法人北方領土問題対策協会運営費,1,1,1,1343516000,1343516000,1343516000,2,1,2,0,ISF
general,内閣府,国際平和協力本部,,,,071,国際平和協力本部,1,1,1,688123000,756850000,756850000,16,8,16,1,ISF
general,内閣府,地方創生推進事務局,,,,231,地方創生推進事務局,1,1,1,1965548000,2823404000,2823404000,17,12,17,1,ISF
general,内閣府,地方創生推進事務局,,,,232,総合特区推進調整費,1,1,1,4000000,4000000,4000000,2,1,2,0,ISF
general,内閣府,地方創生推進事務局,,,,233,地方創生推進費,1,1,1,62023000000,113223000000,113223000000,4,4,5,1,ISF
general,内閣府,地方創生推進事務局,,,,234,地方創生基盤整備事業推進費,1,1,1,39777000000,39777000000,0,2,1,2,0,ISF
general,内閣府,地方創生推進事務局,,,,235,特定地域づくり事業推進費,1,1,1,560000000,560000000,57215000,3,1,2,0,ISF
general,内閣府,地方創生推進事務局,,,,837,情報通信技術調達等適正・効率化推進費,0,0,1,,,3168000,,,2,,--F
general,内閣府,宇宙開発戦略推進事務局,,,,251,宇宙開発戦略推進事務局,1,1,1,17827081000,31500723000,31500723000,19,10,19,1,ISF
general,内閣府,宇宙開発戦略推進事務局,,,,252,宇宙開発利用推進費,1,1,1,2100000000,7099500000,1424500000,3,2,2,0,ISF
general,内閣府,官民人材交流センター,,,,091,官民人材交流センター,1,1,1,255187000,245927000,245927000,12,5,12,1,ISF
general,内閣府,官民人材交流センター,,,,839,情報通信技術調達等適正・効率化推進費,0,0,1,,,49731625,,,2,,--F
general,内閣府,宮内庁,,,,111,宮内庁,1,1,1,11956770000,12154254000,12154254000,27,11,27,1,ISF
general,内閣府,宮内庁,,,,841,情報通信技術調達等適正・効率化推進費,0,0,1,,,297106158,,,2,,--F
general,内閣府,日本学術会議,,,,081,日本学術会議,1,1,1,948631000,953009000,953009000,21,9,21,1,ISF
general,内閣府,日本学術会議,,,,838,情報通信技術調達等適正・効率化推進費,0,0,1,,,7058260,,,2,,--F
general,内閣府,沖縄総合事務局,,,,101,沖縄総合事務局,1,1,1,5284277000,5300869000,5300869000,22,8,22,1,ISF
general,内閣府,沖縄総合事務局,,,,102,沖縄治水事業工事諸費,1,1,1,2113569000,2101843000,2101843000,23,7,23,1,ISF
general,内閣府,沖縄総合事務局,,,,103,沖縄災害復旧事業工事諸費,1,1,1,263000,1951000,1951000,4,4,4,0,ISF
general,内閣府,沖縄総合事務局,,,,104,沖縄港湾空港整備事業工事諸費,1,1,1,979316000,937001000,937001000,22,8,22,1,ISF
general,内閣府,沖縄総合事務局,,,,106,沖縄国営公園事業工事諸費,1,1,1,226393000,245636000,245636000,20,7,20,1,ISF
general,内閣府,沖縄総合事務局,,,,107,沖縄農業農村整備事業工事諸費,1,1,1,786778000,779162000,779162000,20,8,20,1,ISF
general,内閣府,沖縄総合事務局,,,,108,沖縄海岸事業調査諸費,1,1,1,1600000,1600000,1600000,4,1,4,0,ISF
general,内閣府,沖縄総合事務局,,,,109,沖縄道路整備事業工事諸費,1,1,1,1481000000,1471615000,1471615000,22,8,22,1,ISF
general,内閣府,沖縄総合事務局,,,,110,沖縄道路環境整備事業工事諸費,1,1,1,112000000,112138000,112138000,17,7,17,1,ISF
general,内閣府,沖縄総合事務局,,,,115,沖縄水産基盤整備事業調査諸費,1,1,1,3736000,3729000,3729000,4,3,4,1,ISF
general,内閣府,沖縄総合事務局,,,,831,情報通信技術調達等適正・効率化推進費,0,0,1,,,894071706,,,2,,--F
general,内閣府,消費者庁,,,,161,消費者庁共通費,1,1,1,5028079000,4964698000,4964698000,24,10,24,1,ISF
general,内閣府,消費者庁,,,,162,消費者政策費,1,1,1,3769600000,5847528000,5847528000,13,8,13,1,ISF
general,内閣府,消費者庁,,,,163,独立行政法人国民生活センター運営費,1,1,1,3165830000,3562345000,3562345000,2,2,2,0,ISF
general,内閣府,消費者庁,,,,164,食品衛生基準政策費,1,1,1,1812100000,1812100000,1812100000,11,1,11,0,ISF
general,内閣府,消費者庁,,,,840,情報通信技術調達等適正・効率化推進費,0,0,1,,,338724320,,,2,,--F
general,内閣府,知的財産戦略推進事務局,,,,241,知的財産戦略推進事務局,1,1,1,219383000,655803000,655803000,11,8,11,1,ISF
general,内閣府,科学技術・イノベーション推進事務局,,,,291,科学技術・イノベーション推進事務局,1,1,1,2193472000,3291524000,3291524000,25,12,20,1,ISF
general,内閣府,科学技術・イノベーション推進事務局,,,,292,科学技術イノベーション創造推進費,1,1,1,55500000000,77243878000,4045521000,2,2,8,0,ISF
general,内閣府,科学技術・イノベーション推進事務局,,,,830,情報通信技術調達等適正・効率化推進費,0,0,1,,,621708023,,,2,,--F
general,内閣府,総合海洋政策推進事務局,,,,261,総合海洋政策推進事務局,1,1,1,256846000,249297000,249297000,12,7,12,1,ISF
general,内閣府,総合海洋政策推進事務局,,,,262,有人国境離島政策推進費,1,1,1,5033674000,5569371000,5569371000,7,3,7,1,ISF
general,内閣府,総合海洋政策推進事務局,,,,263,海洋開発等重点戦略推進費,0,1,1,,678914000,678914000,,2,2,0,-SF
general,内閣府,警察庁,,,,131,警察庁共通費,1,1,1,95360375000,98002003000,98002003000,41,17,39,1,ISF
general,内閣府,警察庁,,,,132,警察庁施設費,1,1,1,8927372000,13044944000,13044944000,7,6,7,1,ISF
general,内閣府,警察庁,,,,133,生活安全警察費,1,1,1,252937000,347999000,347999000,3,3,3,0,ISF
general,内閣府,警察庁,,,,134,刑事警察費,1,1,1,257619000,282607000,282607000,3,3,3,0,ISF
general,内閣府,警察庁,,,,135,組織犯罪対策費,1,1,1,93762000,93762000,93762000,3,1,3,0,ISF
general,内閣府,警察庁,,,,136,交通警察費,1,1,1,17004343000,17271417000,17271417000,5,3,5,1,ISF
general,内閣府,警察庁,,,,137,警備警察費,1,1,1,9938353000,10301597000,10301597000,9,5,9,1,ISF
general,内閣府,警察庁,,,,138,皇宮警察本部,1,1,1,8296061000,8723355000,8723355000,17,9,17,1,ISF
general,内閣府,警察庁,,,,139,サイバー警察費,1,1,1,2746043000,2972047000,2972047000,3,3,3,0,ISF
general,内閣府,警察庁,,,,140,犯罪被害給付費,1,1,1,1407409000,1407409000,1407409000,4,1,4,0,ISF
general,内閣府,警察庁,,,,141,警察情報通信基盤費,1,1,1,13647659000,18343980000,18343980000,3,3,3,0,ISF
general,内閣府,警察庁,,,,142,科学警察研究所,1,1,1,1995590000,2182889000,2182889000,19,12,17,1,ISF
general,内閣府,警察庁,,,,143,警察活動基盤整備費,1,1,1,72223670000,94591276000,94591276000,20,8,20,1,ISF
general,内閣府,警察庁,,,,145,交通反則者納金財源交通安全対策特別交付金等交付税及び譲与税配付金特別会計へ繰入,1,1,1,48493496000,48493496000,48493496000,2,1,2,0,ISF
general,内閣府,警察庁,,,,601,沖縄振興交付金事業推進費,0,0,1,,,35046000,,,2,,--F
general,内閣府,警察庁,,,,657,科学技術イノベーション創造推進費,0,0,1,,,411000000,,,4,,--F
general,内閣府,警察庁,,,,832,情報通信技術調達等適正・効率化推進費,0,0,1,,,34130307372,,,2,,--F
general,内閣府,金融庁,,,,151,金融庁共通費,1,1,1,22010966000,22219201000,22219201000,37,16,35,1,ISF
general,内閣府,金融庁,,,,152,金融政策費,1,1,1,1344249000,2734447000,2734447000,24,12,21,1,ISF
general,内閣府,金融庁,,,,153,金融庁施設費,0,1,1,,932666000,932666000,,2,2,0,-SF
general,内閣府,金融庁,,,,834,情報通信技術調達等適正・効率化推進費,0,0,1,,,3734245609,,,2,,--F
general,厚生労働省,中央労働委員会,,,,161,中央労働委員会共通費,1,1,1,1190107000,1201202000,1201202000,8,6,8,1,ISF
general,厚生労働省,中央労働委員会,,,,162,労使関係等安定形成促進費,1,1,1,280406000,280406000,280406000,10,1,10,0,ISF
general,厚生労働省,中央労働委員会,,,,836,情報通信技術調達等適正・効率化推進費,0,0,1,,,6861547,,,2,,--F
general,厚生労働省,厚生労働本省,,,,001,厚生労働本省共通費,1,1,1,104006789000,105442796000,105442796000,50,19,46,1,ISF
general,厚生労働省,厚生労働本省,,,,002,厚生労働本省施設費,1,1,1,144295000,144295000,144295000,3,1,3,0,ISF
general,厚生労働省,厚生労働本省,,,,003,医療提供体制確保対策費,1,1,1,25932029000,168507788000,168507788000,13,7,11,1,ISF
general,厚生労働省,厚生労働本省,,,,004,医療従事者等確保対策費,1,1,1,634872000,704467000,704467000,8,4,8,1,ISF
general,厚生労働省,厚生労働本省,,,,005,医療従事者資質向上対策費,1,1,1,47100000,47100000,47100000,7,1,7,0,ISF
general,厚生労働省,厚生労働本省,,,,006,医療情報化等推進費,1,1,1,1600325000,69390479000,69390479000,11,6,10,1,ISF
general,厚生労働省,厚生労働本省,,,,007,医療安全確保推進費,1,1,1,1355740000,1465324000,1465324000,9,4,9,1,ISF
general,厚生労働省,厚生労働本省,,,,011,独立行政法人国立病院機構施設整備費,0,1,1,,6475812000,6475812000,,2,2,0,-SF
general,厚生労働省,厚生労働本省,,,,012,感染症対策費,1,1,1,153099251000,225171437000,225171437000,38,18,38,1,ISF
general,厚生労働省,厚生労働本省,,,,013,特定疾患等対策費,1,1,1,154380758000,154529143000,154529143000,32,11,32,1,ISF
general,厚生労働省,厚生労働本省,,,,014,移植医療推進費,1,1,1,3500858000,4485302000,4485302000,8,4,8,1,ISF
general,厚生労働省,厚生労働本省,,,,015,原爆被爆者等援護対策費,1,1,1,114741911000,114741911000,114741911000,25,1,25,0,ISF
general,厚生労働省,厚生労働本省,,,,016,医薬品承認審査等推進費,1,1,1,1086438000,1261333000,1261333000,9,4,9,1,ISF
general,厚生労働省,厚生労働本省,,,,017,医薬品安全対策等推進費,1,1,1,1141032000,1220560000,1220560000,14,5,14,1,ISF
general,厚生労働省,厚生労働本省,,,,018,医薬品適正使用推進費,1,1,1,103798000,529842000,529842000,11,7,10,1,ISF
general,厚生労働省,厚生労働本省,,,,019,血液製剤対策費,1,1,1,663663000,1987863000,1987863000,8,4,8,1,ISF
general,厚生労働省,厚生労働本省,,,,021,医療技術実用化等推進費,1,1,1,3318561000,23807364000,23807364000,12,9,12,1,ISF
general,厚生労働省,厚生労働本省,,,,022,医療提供体制基盤整備費,1,1,1,123592761000,164767359000,164767359000,9,8,9,1,ISF
general,厚生労働省,厚生労働本省,,,,023,独立行政法人医薬品医療機器総合機構運営費,1,1,1,2466176000,2466176000,2466176000,2,1,2,0,ISF
general,厚生労働省,厚生労働本省,,,,024,医療保険給付諸費,1,1,1,10438281787000,10476716472000,10476716472000,40,17,41,1,ISF
general,厚生労働省,厚生労働本省,,,,025,健康保険事業借入金諸費年金特別会計へ繰入,1,1,1,5778297000,9277289000,9277289000,2,2,2,0,ISF
general,厚生労働省,厚生労働本省,,,,026,医療費適正化推進費,1,1,1,2282404000,2322404000,2322404000,4,3,4,1,ISF
general,厚生労働省,厚生労働本省,,,,029,地域保健対策費,1,1,1,2851386000,2889671000,2889671000,11,4,11,1,ISF
general,厚生労働省,厚生労働本省,,,,030,保健衛生施設整備費,1,1,1,3869023000,3869023000,3869023000,2,1,3,0,ISF
general,厚生労働省,厚生労働本省,,,,031,健康増進対策費,1,1,1,34784412000,39857531000,39857531000,19,9,19,1,ISF
general,厚生労働省,厚生労働本省,,,,032,健康危機管理推進費,1,1,1,1049596000,1056563000,1056563000,10,6,10,1,ISF
general,厚生労働省,厚生労働本省,,,,033,食品等安全確保対策費,1,1,1,708371000,1022902000,1022902000,10,7,10,1,ISF
general,厚生労働省,厚生労働本省,,,,035,水道施設整備費,0,0,1,,,0,,,3,,--F
general,厚生労働省,厚生労働本省,,,,036,麻薬・覚醒剤等対策費,1,1,1,545813000,545813000,545813000,19,1,19,0,ISF
general,厚生労働省,厚生労働本省,,,,037,化学物質安全対策費,1,1,1,296657000,296657000,296657000,8,1,8,0,ISF
general,厚生労働省,厚生労働本省,,,,038,生活衛生対策費,1,1,1,4255648000,4873229000,4873229000,12,5,11,1,ISF
general,厚生労働省,厚生労働本省,,,,039,労働条件確保・改善対策費,1,1,1,300506000,300506000,300506000,8,1,8,0,ISF
general,厚生労働省,厚生労働本省,,,,041,労働者災害補償保険保険給付費労働保険特別会計へ繰入,1,1,1,6515000,6515000,6515000,2,1,2,0,ISF
general,厚生労働省,厚生労働本省,,,,045,独立行政法人労働政策研究・研修機構運営費,1,1,1,406109000,406109000,406109000,2,1,2,0,ISF
general,厚生労働省,厚生労働本省,,,,048,高齢者等雇用安定・促進費,1,1,1,8785447000,9733889000,9733889000,21,6,21,1,ISF
general,厚生労働省,厚生労働本省,,,,049,失業等給付費等労働保険特別会計へ繰入,1,1,1,126200500000,126200500000,126200500000,4,1,4,0,ISF
general,厚生労働省,厚生労働本省,,,,052,職業能力開発強化費,1,1,1,5108541000,5108541000,5108541000,13,1,11,0,ISF
general,厚生労働省,厚生労働本省,,,,053,若年者等職業能力開発支援費,1,1,1,69070000,110390000,110390000,7,4,7,1,ISF
general,厚生労働省,厚生労働本省,,,,054,障害者等職業能力開発支援費,1,1,1,4034803000,4034803000,4034803000,4,1,4,0,ISF
general,厚生労働省,厚生労働本省,,,,055,独立行政法人高齢・障害・求職者雇用支援機構運営費,1,1,1,863159000,863159000,863159000,2,1,2,0,ISF
general,厚生労働省,厚生労働本省,,,,056,男女均等雇用対策費,1,1,1,130226000,223042000,223042000,6,5,6,1,ISF
general,厚生労働省,厚生労働本省,,,,064,生活保護等対策費,1,1,1,2921924134000,2949502714000,2949502714000,28,13,29,1,ISF
general,厚生労働省,厚生労働本省,,,,067,社会福祉諸費,1,1,1,36011798000,43411768000,43411768000,13,7,13,1,ISF
general,厚生労働省,厚生労働本省,,,,068,遺族及留守家族等援護費,1,1,1,4430664000,4388201000,4388201000,15,5,15,1,ISF
general,厚生労働省,厚生労働本省,,,,069,戦没者慰霊事業費,1,1,1,4052933000,4286980000,4286980000,19,6,19,1,ISF
general,厚生労働省,厚生労働本省,,,,070,中国残留邦人等支援事業費,1,1,1,1180806000,1192571000,1192571000,8,3,8,1,ISF
general,厚生労働省,厚生労働本省,,,,071,恩給進達等実施費,1,1,1,170130000,170130000,170130000,7,1,7,0,ISF
general,厚生労働省,厚生労働本省,,,,072,障害保健福祉費,1,1,1,2112265376000,2186221614000,2186221614000,44,16,45,1,ISF
general,厚生労働省,厚生労働本省,,,,073,独立行政法人国立重度知的障害者総合施設のぞみの園運営費,1,1,1,1230773000,1230773000,1230773000,2,1,2,0,ISF
