side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載
決算のみ,一般会計,国土交通省,地方整備局,832,情報通信技術調達等適正・効率化推進費,10462264882,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,地方航空局,838,情報通信技術調達等適正・効率化推進費,14555849,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,地方運輸局,835,情報通信技術調達等適正・効率化推進費,491410723,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,気象庁,235,海洋気象観測船建造費,7137595000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,国土交通省,気象庁,659,科学技術イノベーション創造推進費,91500000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,気象庁,702,南極地域観測事業費,114289000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,気象庁,782,地球環境保全等試験研究費,27436000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,気象庁,792,放射能調査研究費,9000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,気象庁,834,情報通信技術調達等適正・効率化推進費,12328044946,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海上保安庁,265,船舶交通安全基盤災害復旧事業工事諸費,17124000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,国土交通省,海上保安庁,615,宇宙開発利用推進費,0,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海上保安庁,703,南極地域観測事業費,28764000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海上保安庁,726,防災・減災対策等強化事業推進費,163900000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海上保安庁,793,放射能調査研究費,126851000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海上保安庁,836,情報通信技術調達等適正・効率化推進費,1960585652,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,海難審判所,837,情報通信技術調達等適正・効率化推進費,9596928,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,観光庁,839,情報通信技術調達等適正・効率化推進費,117309839,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,運輸安全委員会,840,情報通信技術調達等適正・効率化推進費,9596928,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,外務省,在外公館,830,情報通信技術調達等適正・効率化推進費,365209398,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,外務省,外務本省,829,情報通信技術調達等適正・効率化推進費,21713466927,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,スポーツ庁,607,沖縄北部連携促進特別振興事業費,2350292000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,スポーツ庁,831,情報通信技術調達等適正・効率化推進費,10373000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文化庁,94,文化庁施設費,96349000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,文部科学省,文化庁,99,独立行政法人日本芸術文化振興会出資,20000000000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,文部科学省,文化庁,775,国際観光旅客税財源観光振興費,8116238000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文化庁,832,情報通信技術調達等適正・効率化推進費,712841350,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,56,独立行政法人大学入試センター施設整備費,209567000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,文部科学省,文部科学本省,60,独立行政法人国立女性教育会館施設整備費,100724000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,文部科学省,文部科学本省,601,沖縄振興交付金事業推進費,3452457000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,615,宇宙開発利用推進費,3250000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,633,沖縄国立大学法人施設整備費,14262327000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,641,沖縄教育振興事業費,4288949000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,656,科学技術イノベーション創造推進費,31942151000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,781,地球環境保全等試験研究費,4500000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,826,大学等修学支援費,543504712000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省,829,情報通信技術調達等適正・効率化推進費,11751004400,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,文部科学省,文部科学本省所轄機関,830,情報通信技術調達等適正・効率化推進費,841794020,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,公安調査庁,835,情報通信技術調達等適正・効率化推進費,6118357,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,出入国在留管理庁,775,国際観光旅客税財源観光振興費,7200922000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,出入国在留管理庁,832,情報通信技術調達等適正・効率化推進費,26262500709,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,更生保護官署,834,情報通信技術調達等適正・効率化推進費,856407457,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,検察庁,830,情報通信技術調達等適正・効率化推進費,3597483185,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,法務局,831,情報通信技術調達等適正・効率化推進費,53806164008,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,法務本省,829,情報通信技術調達等適正・効率化推進費,4350533296,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,法務省,矯正官署,833,情報通信技術調達等適正・効率化推進費,2803402480,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,原子力規制委員会,831,情報通信技術調達等適正・効率化推進費,772117118,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,地方環境事務所,830,情報通信技術調達等適正・効率化推進費,195466,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,17,環境調査研修所施設費,25653000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,環境省,環境本省,27,自然公園等施設災害復旧事業費,526000000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,環境省,環境本省,601,沖縄振興交付金事業推進費,32400000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,645,沖縄開発事業費,2384000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,656,科学技術イノベーション創造推進費,1650000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,739,離島振興事業費,1737000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,745,北海道開発事業費,9455000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,775,国際観光旅客税財源観光振興費,5099131000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,792,放射能調査研究費,170016000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,815,地方創生基盤整備事業推進費,396090000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,環境省,環境本省,829,情報通信技術調達等適正・効率化推進費,4812815086,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,中小企業庁,830,情報通信技術調達等適正・効率化推進費,1389446742,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,21,独立行政法人日本貿易振興機構施設整備費,158637000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,経済産業省,経済産業本省,22,半導体・人工知能関連技術基盤強化対策費,1305353732000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,経済産業省,経済産業本省,601,沖縄振興交付金事業推進費,51935000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,615,宇宙開発利用推進費,1330000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,656,科学技術イノベーション創造推進費,17313943000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,674,地方創生地域産業基盤整備事業推進費,775500000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,721,水資源開発事業費,118000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,781,地球環境保全等試験研究費,2388000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,経済産業本省,829,情報通信技術調達等適正・効率化推進費,12323321198,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,経済産業省,資源エネルギー庁,89,独立行政法人エネルギー・金属鉱物資源機構出資,67500000000,同一項名が別会計に存在,,False,False
決算のみ,一般会計,経済産業省,資源エネルギー庁,90,電源利用対策費エネルギー対策特別会計へ繰入,11145311000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,経済産業省,資源エネルギー庁,91,脱炭素成長型経済構造移行推進エネルギー対策特別会計へ繰入,32935362000,同一項名が別所管・組織に存在,,False,False
決算のみ,一般会計,経済産業省,資源エネルギー庁,832,情報通信技術調達等適正・効率化推進費,381111480,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,消防庁,830,情報通信技術調達等適正・効率化推進費,1845066469,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,管区行政評価局,831,情報通信技術調達等適正・効率化推進費,528000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,607,沖縄北部連携促進特別振興事業費,13459000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,615,宇宙開発利用推進費,430000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,656,科学技術イノベーション創造推進費,2031560000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,664,新型コロナウイルス感染症対応地方創生推進費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,総務省,総務本省,671,物価高騰対応地方創生推進費,1112480380000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,701,南極地域観測事業費,32555000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,820,特定地域づくり事業推進費,502785000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総務本省,829,情報通信技術調達等適正・効率化推進費,9818429520,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総合通信局,702,南極地域観測事業費,1679000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,総務省,総合通信局,832,情報通信技術調達等適正・効率化推進費,8111000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,財務省,国税庁,832,情報通信技術調達等適正・効率化推進費,120402429397,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,財務省,税関,775,国際観光旅客税財源観光振興費,2491042000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,財務省,税関,831,情報通信技術調達等適正・効率化推進費,15690150194,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,財務省,財務局,830,情報通信技術調達等適正・効率化推進費,3979310045,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,財務省,財務本省,66,防衛力強化資金へ繰入,109609560000,同一範囲・同一項コード（名称差）,,False,False
決算のみ,一般会計,財務省,財務本省,829,情報通信技術調達等適正・効率化推進費,16986019124,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,北海道農政事務所,835,情報通信技術調達等適正・効率化推進費,9953900,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,地方農政局,834,情報通信技術調達等適正・効率化推進費,236977832,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,646,沖縄開発事業費,760000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,658,科学技術イノベーション創造推進費,153683000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,727,防災・減災対策等強化事業推進費,0,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,740,離島振興事業費,1925000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,746,北海道開発事業費,21796000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,757,北海道特定特別総合開発事業推進費,543000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,782,地球環境保全等試験研究費,19632000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,816,地方創生基盤整備事業推進費,7608057000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,林野庁,830,情報通信技術調達等適正・効率化推進費,1220960012,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,148,漁港施設災害復旧事業工事諸費,173000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,農林水産省,水産庁,647,沖縄開発事業費,4518264000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,659,科学技術イノベーション創造推進費,395000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,728,防災・減災対策等強化事業推進費,0,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,741,離島振興事業費,12652350000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,747,北海道開発事業費,38567000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,783,地球環境保全等試験研究費,4000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,793,放射能調査研究費,145086000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,817,地方創生基盤整備事業推進費,1945091000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,水産庁,831,情報通信技術調達等適正・効率化推進費,1298153124,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産技術会議,615,宇宙開発利用推進費,300000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産技術会議,656,科学技術イノベーション創造推進費,3350617000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産技術会議,781,地球環境保全等試験研究費,21000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産技術会議,792,放射能調査研究費,47137000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産技術会議,833,情報通信技術調達等適正・効率化推進費,1441779045,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,7,独立行政法人農林水産消費安全技術センター施設整備費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,農林水産省,農林水産本省,601,沖縄振興交付金事業推進費,8193234000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,645,沖縄開発事業費,13941185000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,648,沖縄北部連携促進特別振興対策特定開発事業推進費,161360000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,657,科学技術イノベーション創造推進費,0,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,721,水資源開発事業費,10189000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,726,防災・減災対策等強化事業推進費,117400000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,739,離島振興事業費,14156178000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,745,北海道開発事業費,133322233000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,756,北海道特定特別総合開発事業推進費,515000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,815,地方創生基盤整備事業推進費,3815986000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省,829,情報通信技術調達等適正・効率化推進費,13930420645,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,農林水産省,農林水産本省検査指導機関,832,情報通信技術調達等適正・効率化推進費,736778791,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,防衛省,地方防衛局,830,情報通信技術調達等適正・効率化推進費,1708440853,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,防衛省,防衛本省,701,南極地域観測事業費,4348888000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,防衛省,防衛本省,829,情報通信技術調達等適正・効率化推進費,23924658231,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,防衛省,防衛装備庁,792,放射能調査研究費,301716000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,防衛省,防衛装備庁,831,情報通信技術調達等適正・効率化推進費,4794381525,同一項名が別所管・組織に存在,,True,True
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,602,東日本大震災復興支援対策費,4032861000,同一範囲・同一項名（項コード差）,,False,False
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,641,地域活性化等復興政策費,5930567000,同一範囲・同一項名（項コード差）,,False,False
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,643,治安復興政策費,15174000,同一範囲・同一項名（項コード差）,,False,False
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,644,治安復興事業費,300844000,同一範囲・同一項名（項コード差）,,False,False
