country_code,country_name,canonical_name,name,name_type
sg,シンガポール,インターナショナルSOS,インターナショナルSOS,canonical
sg,シンガポール,インターナショナルSOS,INTERNATIONAL SOS,alias
sk,スロバキア共和国,イーセット(ESET),イーセット(ESET),canonical
sk,スロバキア共和国,イーセット(ESET),"ESET, spol. s r.o.",alias
sk,スロバキア共和国,イーセット(ESET),ESET,alias
us,アメリカ合衆国,アジア・ソサエティ,アジア・ソサエティ,canonical
us,アメリカ合衆国,アジア・ソサエティ,ASIA SOCIETY,alias
de,ドイツ連邦共和国,アヤメGmbH,アヤメGmbH,canonical
de,ドイツ連邦共和国,アヤメGmbH,AYAMEGmbH,alias
it,イタリア共和国,ユーロ地中海気候変動センター(CMCC),ユーロ地中海気候変動センター(CMCC),canonical
it,イタリア共和国,ユーロ地中海気候変動センター(CMCC),CMCC,alias
us,アメリカ合衆国,戦略国際問題研究所(CSIS),戦略国際問題研究所(CSIS),canonical
us,アメリカ合衆国,戦略国際問題研究所(CSIS),CSIS,alias
sg,シンガポール,野村総合研究所シンガポール,野村総合研究所シンガポール,canonical
sg,シンガポール,野村総合研究所シンガポール,Nomura Research Institute Singapore,alias
it,イタリア共和国,ピサ大学タシュケント校,ピサ大学タシュケント校,canonical
it,イタリア共和国,ピサ大学タシュケント校,The branch of the University of Pisa in Tashkent,alias
id,インドネシア共和国,プタ・ドゥタグリヤ・サラナ,プタ・ドゥタグリヤ・サラナ,canonical
id,インドネシア共和国,プタ・ドゥタグリヤ・サラナ,PT.Dutagriya Sarana,alias
us,アメリカ合衆国,AP通信,AP通信,canonical
us,アメリカ合衆国,AP通信,The Associated Press,alias
us,アメリカ合衆国,アーチャー・ダニエルズ・ミッドランド(ADM),アーチャー・ダニエルズ・ミッドランド(ADM),canonical
us,アメリカ合衆国,アーチャー・ダニエルズ・ミッドランド(ADM),ADM,alias
id,インドネシア共和国,プタ・ナピンド・メディア・アシャタマ,プタ・ナピンド・メディア・アシャタマ,canonical
id,インドネシア共和国,プタ・ナピンド・メディア・アシャタマ,PT NAPINDO MEDIA ASHATAMA,alias
az,アゼルバイジャン共和国,カスピアン・ジオフィジカル,カスピアン・ジオフィジカル,canonical
az,アゼルバイジャン共和国,カスピアン・ジオフィジカル,Caspian Geophysical,alias
gb,イギリス,OCOグローバル,OCOグローバル,canonical
gb,イギリス,OCOグローバル,OCO Global,alias
us,アメリカ合衆国,AFS異文化交流プログラム・インド,AFS異文化交流プログラム・インド,canonical
us,アメリカ合衆国,AFS異文化交流プログラム・インド,AFS Intercultural Programs India,alias
sg,シンガポール,クロゼット・グループ,クロゼット・グループ,canonical
sg,シンガポール,クロゼット・グループ,Clozette Group,alias
it,イタリア共和国,コゲス,コゲス,canonical
it,イタリア共和国,コゲス,COGES,alias
us,アメリカ合衆国,エクスプロレーション・パートナーズ,エクスプロレーション・パートナーズ,canonical
us,アメリカ合衆国,エクスプロレーション・パートナーズ,Xploration Partners,alias
gb,イギリス,アペイロン・マネジメント,アペイロン・マネジメント,canonical
gb,イギリス,アペイロン・マネジメント,Apeiron Management,alias
fr,フランス共和国,エアバス・ヘリコプターズ,エアバス・ヘリコプターズ,canonical
fr,フランス共和国,エアバス・ヘリコプターズ,Airbus Helicopters,alias
jp,日本,シマヅプレシジョンインスツルメンツ,シマヅプレシジョンインスツルメンツ,canonical
jp,日本,シマヅプレシジョンインスツルメンツ,シマヅプレシジョンインスツルメンツインク,alias
us,アメリカ合衆国,クロール・インターナショナル,クロール・インターナショナル,canonical
us,アメリカ合衆国,クロール・インターナショナル,クロール・インターナショナル・インク,alias
us,アメリカ合衆国,ジャパン・ソサエティー,ジャパン・ソサエティー,canonical
us,アメリカ合衆国,ジャパン・ソサエティー,ジャパン・ソサエティ,alias
us,アメリカ合衆国,ボストン・コンサルティング・グループ,ボストン・コンサルティング・グループ,canonical
us,アメリカ合衆国,エム・アール・アイリサーチアソシエイツ,エム・アール・アイリサーチアソシエイツ,canonical
us,アメリカ合衆国,マッキンゼー・アンド・カンパニー,マッキンゼー・アンド・カンパニー,canonical
us,アメリカ合衆国,マッキンゼー・アンド・カンパニー,マッキンゼー・アンド・カンパニー・インコーポレイテッド・ジャパン,alias
fi,フィンランド共和国,レレックス・ソリューションズ,レレックス・ソリューションズ,canonical
fi,フィンランド共和国,レレックス・ソリューションズ,レレックスシンガポール,alias
us,アメリカ合衆国,シープスコット・グループ,シープスコット・グループ,canonical
us,アメリカ合衆国,シープスコット・グループ,Sheepscot Group,alias
us,アメリカ合衆国,シープスコット・グループ,SheepScot Group,alias
us,アメリカ合衆国,グローバル起業家研究所(UCSD),グローバル起業家研究所(UCSD),canonical
us,アメリカ合衆国,グローバル起業家研究所(UCSD),"Institute for the Global Entrepreneur, University",alias
us,アメリカ合衆国,S&Pグローバル・コモディティ・インサイツ,S&Pグローバル・コモディティ・インサイツ,canonical
us,アメリカ合衆国,S&Pグローバル・コモディティ・インサイツ,S&P Global Commodity Insights,alias
us,アメリカ合衆国,ワシントン・コア,ワシントン・コア,canonical
us,アメリカ合衆国,ワシントン・コア,Washington Core L.L.C,alias
sg,シンガポール,シャングリラ・シンガポール,シャングリラ・シンガポール,canonical
sg,シンガポール,シャングリラ・シンガポール,SHANGRILA SINGAPORE,alias
sg,シンガポール,野村総合研究所シンガポール,NomuraResearchInstituteSingaporePte.Led,alias
